Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Oslo - Blindern;SN18700;06.1994;13,6;5,4;27,1;6
Bergen - Florida;SN50540;07.1994;16,2;7,7;28,6;9
Oslo - Blindern;SN18700;07.1994;20,3;9,1;31,2;3
Bergen - Florida;SN50540;08.1994;14,9;6,4;30,1;15
Oslo - Blindern;SN18700;08.1994;16;5,1;29,4;11
Bergen - Florida;SN50540;09.1994;11,7;1,7;22,2;12
Oslo - Blindern;SN18700;09.1994;10,1;-1;20,8;8
Bergen - Florida;SN50540;10.1994;7,4;-2,2;15,3;18
Oslo - Blindern;SN18700;10.1994;5,5;-4,7;15,6;9
Bergen - Florida;SN50540;11.1994;6,9;-0,5;16,2;25
Oslo - Blindern;SN18700;11.1994;1,9;-6,7;9,4;6
Bergen - Florida;SN50540;12.1994;4,3;-2,3;11,5;24
Oslo - Blindern;SN18700;12.1994;0,1;-8,2;7,2;15
Bergen - Florida;SN50540;01.1995;2,5;-7,9;10,9;20
Oslo - Blindern;SN18700;01.1995;-2,9;-16,4;5,3;11
Bergen - Florida;SN50540;02.1995;2,5;-4,8;8,2;26
Oslo - Blindern;SN18700;02.1995;-0,3;-13,3;7,2;14
Bergen - Florida;SN50540;03.1995;3,5;-3,9;9,2;20
Oslo - Blindern;SN18700;03.1995;1,2;-7,2;11,6;7
Bergen - Florida;SN50540;04.1995;5,1;-2,1;20,7;21
Oslo - Blindern;SN18700;04.1995;3,9;-4,7;21,2;10
Bergen - Florida;SN50540;05.1995;8,8;0,2;20,7;12
Oslo - Blindern;SN18700;05.1995;9,8;-0,4;22,5;7
Bergen - Florida;SN50540;06.1995;13,5;6,3;24,1;14
Oslo - Blindern;SN18700;06.1995;15,1;7,2;29,3;12
Bergen - Florida;SN50540;07.1995;14,6;7,1;26;20
Oslo - Blindern;SN18700;07.1995;16,4;6,5;27,3;11
Bergen - Florida;SN50540;08.1995;14,9;5,9;25,6;11
Oslo - Blindern;SN18700;08.1995;17,8;5;28,3;3
Bergen - Florida;SN50540;09.1995;12,9;-0,1;22,7;11
Oslo - Blindern;SN18700;09.1995;11,1;1,6;20;13
Bergen - Florida;SN50540;10.1995;10,5;1;20,7;26
Oslo - Blindern;SN18700;10.1995;8,9;-1;15,9;10
Bergen - Florida;SN50540;11.1995;4,4;-4;10,4;16
Oslo - Blindern;SN18700;11.1995;-0,5;-7,5;8,5;6
Bergen - Florida;SN50540;12.1995;-0,8;-10;9,4;10
Oslo - Blindern;SN18700;12.1995;-6,4;-18,3;3,8;2
Bergen - Florida;SN50540;01.1996;1;-10,2;11,2;8
Oslo - Blindern;SN18700;01.1996;-5,1;-17,9;1,7;9
Bergen - Florida;SN50540;02.1996;0,2;-6,3;6,8;11
Oslo - Blindern;SN18700;02.1996;-6,2;-17,8;5,6;3
Bergen - Florida;SN50540;03.1996;2,6;-4,2;11,5;7
Oslo - Blindern;SN18700;03.1996;-0,6;-8,1;8,4;0
Bergen - Florida;SN50540;04.1996;6,8;-3,1;18,8;13
Oslo - Blindern;SN18700;04.1996;4,9;-7,3;15;5
Bergen - Florida;SN50540;05.1996;8,3;0;19,2;16
Oslo - Blindern;SN18700;05.1996;8,4;-0,1;23,9;15
Bergen - Florida;SN50540;06.1996;12,1;3,8;20,7;16
Oslo - Blindern;SN18700;06.1996;14,2;6;23,8;8
Bergen - Florida;SN50540;07.1996;12,6;7,7;22,4;19
Oslo - Blindern;SN18700;07.1996;15,9;7,7;27,6;10
Bergen - Florida;SN50540;08.1996;17,5;9,9;29,1;11
Oslo - Blindern;SN18700;08.1996;18,4;9,1;28,4;6
Bergen - Florida;SN50540;09.1996;12;5,3;20,4;6
Oslo - Blindern;SN18700;09.1996;10,4;1,7;21,5;6
Bergen - Florida;SN50540;10.1996;9,7;1,7;17,5;21
Oslo - Blindern;SN18700;10.1996;7,7;-1,9;16,3;12
Bergen - Florida;SN50540;11.1996;1,7;-7,7;12,4;14
Oslo - Blindern;SN18700;11.1996;0,4;-10,5;13,9;14
Bergen - Florida;SN50540;12.1996;0,9;-8,3;7,5;18
Oslo - Blindern;SN18700;12.1996;-4,4;-17;6,2;7
Bergen - Florida;SN50540;01.1997;2,4;-6,6;8,9;17
Oslo - Blindern;SN18700;01.1997;-4;-16,9;9,7;5
Bergen - Florida;SN50540;02.1997;3,6;-2,9;8,6;24
Oslo - Blindern;SN18700;02.1997;-0,3;-16,5;8,8;9
Bergen - Florida;SN50540;03.1997;4,1;-4,5;9,8;18
Oslo - Blindern;SN18700;03.1997;2,4;-8;16,2;2
Bergen - Florida;SN50540;04.1997;5,1;-1,4;16,5;16
Oslo - Blindern;SN18700;04.1997;5,1;-4,2;16,2;0
Bergen - Florida;SN50540;05.1997;9,7;1,7;21,4;12
Oslo - Blindern;SN18700;05.1997;9,3;-1;21;11
Bergen - Florida;SN50540;06.1997;15,5;6,4;25,5;5
Oslo - Blindern;SN18700;06.1997;16,3;7,3;28,3;7
Bergen - Florida;SN50540;07.1997;17,3;9,7;28,2;13
Oslo - Blindern;SN18700;07.1997;19,5;11,2;30,4;8
Bergen - Florida;SN50540;08.1997;18,3;11;27,4;10
Oslo - Blindern;SN18700;08.1997;20,5;12,7;29,9;6
Bergen - Florida;SN50540;09.1997;11,8;5,8;24,4;22
Oslo - Blindern;SN18700;09.1997;12,4;2,3;24,6;10
Bergen - Florida;SN50540;10.1997;6,7;-4,7;15,7;22
Oslo - Blindern;SN18700;10.1997;4,8;-5,3;14,5;8
Bergen - Florida;SN50540;11.1997;5,3;-3,4;12,1;13
Oslo - Blindern;SN18700;11.1997;1,5;-8,3;9,6;10
Bergen - Florida;SN50540;12.1997;3,3;-4,3;9,9;15
Oslo - Blindern;SN18700;12.1997;-1;-10,9;6,4;13
Bergen - Florida;SN50540;01.1998;3,5;-7,4;12,4;19
Oslo - Blindern;SN18700;01.1998;-1,1;-12,2;5,7;9
Bergen - Florida;SN50540;02.1998;4,8;-2,6;9,5;27
Oslo - Blindern;SN18700;02.1998;1,4;-12,8;13,7;8
Bergen - Florida;SN50540;03.1998;3;-7,2;13,6;18
Oslo - Blindern;SN18700;03.1998;0,8;-11,1;15,9;5
Bergen - Florida;SN50540;04.1998;6,9;0,6;19;9
Oslo - Blindern;SN18700;04.1998;4,3;-5,1;16,1;14
Bergen - Florida;SN50540;05.1998;10,4;3,3;23,2;9
Oslo - Blindern;SN18700;05.1998;11,6;1,3;24;3
Bergen - Florida;SN50540;06.1998;12,3;4,4;25,7;14
Oslo - Blindern;SN18700;06.1998;13,2;5,7;23,4;16
Bergen - Florida;SN50540;07.1998;13,6;8,4;25,5;18
Oslo - Blindern;SN18700;07.1998;15,4;9;23,9;13
Bergen - Florida;SN50540;08.1998;13,2;7,6;22,7;19
Oslo - Blindern;SN18700;08.1998;14,4;6,2;23,2;13
Bergen - Florida;SN50540;09.1998;13,9;6,2;21;12
Oslo - Blindern;SN18700;09.1998;12,5;5;21,8;10
Bergen - Florida;SN50540;10.1998;7,1;1,8;14;22
Oslo - Blindern;SN18700;10.1998;5,4;-1,6;12,7;12
Bergen - Florida;SN50540;11.1998;3,2;-4,8;9,6;15
Oslo - Blindern;SN18700;11.1998;-0,7;-10,1;6;7
Bergen - Florida;SN50540;12.1998;4,1;-7,2;11;21
Oslo - Blindern;SN18700;12.1998;-0,6;-11,5;6,3;9
Bergen - Florida;SN50540;01.1999;2,8;-7,3;9,4;19
Oslo - Blindern;SN18700;01.1999;-2,2;-17,6;5,8;16
Bergen - Florida;SN50540;02.1999;1,8;-8;9,4;21
Oslo - Blindern;SN18700;02.1999;-2,3;-14,3;9,3;6
Bergen - Florida;SN50540;03.1999;4,6;-2,6;11,5;22
Oslo - Blindern;SN18700;03.1999;0,4;-9;9,9;17
Bergen - Florida;SN50540;04.1999;7,6;0,1;19,4;17
Oslo - Blindern;SN18700;04.1999;6,7;-1,9;18,8;9
Bergen - Florida;SN50540;05.1999;9,8;2;20,9;13
Oslo - Blindern;SN18700;05.1999;9,5;0,3;24,8;7
Bergen - Florida;SN50540;06.1999;13,1;6,5;22,6;14
Oslo - Blindern;SN18700;06.1999;14;6;23,9;19
Bergen - Florida;SN50540;07.1999;14,7;7,1;23,6;14
Oslo - Blindern;SN18700;07.1999;17,4;8,4;27,1;9
Bergen - Florida;SN50540;08.1999;15,5;7,7;27,4;8
Oslo - Blindern;SN18700;08.1999;16,1;6;28,4;4
Bergen - Florida;SN50540;09.1999;15,8;5,5;25,2;20
Oslo - Blindern;SN18700;09.1999;14,4;6,1;24,5;13
Bergen - Florida;SN50540;10.1999;8,8;0,1;17,1;22
Oslo - Blindern;SN18700;10.1999;6,6;0;13,5;9
Bergen - Florida;SN50540;11.1999;7;-3;12,8;21
Oslo - Blindern;SN18700;11.1999;4,2;-4,9;12,5;8
Bergen - Florida;SN50540;12.1999;2;-6,7;9,9;21
Oslo - Blindern;SN18700;12.1999;-2,7;-15,2;8,3;11
Bergen - Florida;SN50540;01.2000;3,6;-3,5;8,8;24
Oslo - Blindern;SN18700;01.2000;-0,4;-12,6;10,2;8
Bergen - Florida;SN50540;02.2000;3,3;-4,7;8,9;21
Oslo - Blindern;SN18700;02.2000;-0,4;-10,7;8,9;6
Bergen - Florida;SN50540;03.2000;3,3;-3,4;9,4;24
Oslo - Blindern;SN18700;03.2000;2;-7,4;15,4;6
Bergen - Florida;SN50540;04.2000;8;-1,9;25,5;14
Oslo - Blindern;SN18700;04.2000;6,4;-6,1;25,4;15
Bergen - Florida;SN50540;05.2000;11,6;5,1;23,2;14
Oslo - Blindern;SN18700;05.2000;12,5;2,1;25,8;13
Bergen - Florida;SN50540;06.2000;12;3,1;26,2;22
Oslo - Blindern;SN18700;06.2000;13,6;3,7;25,6;12
Bergen - Florida;SN50540;07.2000;14,7;6,9;26,9;5
Oslo - Blindern;SN18700;07.2000;16,2;8,4;26,5;15
Bergen - Florida;SN50540;08.2000;13,7;8,3;21,1;22
Oslo - Blindern;SN18700;08.2000;15,4;7,1;23,5;13
Bergen - Florida;SN50540;09.2000;13,1;4,2;20,9;13
Oslo - Blindern;SN18700;09.2000;11,5;3,6;19,4;6
Bergen - Florida;SN50540;10.2000;11;3,5;17,7;20
Oslo - Blindern;SN18700;10.2000;9,5;2,2;17,3;21
Bergen - Florida;SN50540;11.2000;7,8;1,1;13,6;21
Oslo - Blindern;SN18700;11.2000;5,8;1,6;9,5;25
Bergen - Florida;SN50540;12.2000;3,9;-7;12,6;16
Oslo - Blindern;SN18700;12.2000;1,2;-15,8;9,2;16
Bergen - Florida;SN50540;01.2001;2,7;-5,8;9,5;9
Oslo - Blindern;SN18700;01.2001;-2,8;-16,2;4;13
Bergen - Florida;SN50540;02.2001;-0,2;-13,4;7,5;16
Oslo - Blindern;SN18700;02.2001;-5,3;-20,7;8,1;6
Bergen - Florida;SN50540;03.2001;2;-11,3;10,2;13
Oslo - Blindern;SN18700;03.2001;-1,5;-13,1;10,3;6
Bergen - Florida;SN50540;04.2001;5,7;-1,1;13,6;16
Oslo - Blindern;SN18700;04.2001;4,3;-5,4;13,3;14
Bergen - Florida;SN50540;05.2001;10,4;1,7;23,1;11
Oslo - Blindern;SN18700;05.2001;11,9;3,2;24,4;7
Bergen - Florida;SN50540;06.2001;11,9;4;24,2;15
Oslo - Blindern;SN18700;06.2001;14,6;4,7;27,4;7
Bergen - Florida;SN50540;07.2001;15,7;8,2;25,4;17
Oslo - Blindern;SN18700;07.2001;17,8;9,6;28,9;10
Bergen - Florida;SN50540;08.2001;14,8;7,2;23,6;21
Oslo - Blindern;SN18700;08.2001;15,9;8,3;26;11
Bergen - Florida;SN50540;09.2001;12,9;2,6;22,4;10
Oslo - Blindern;SN18700;09.2001;11,7;2,1;19,1;14
Bergen - Florida;SN50540;10.2001;11;4,2;17,6;22
Oslo - Blindern;SN18700;10.2001;9;-0,5;17,4;17
Bergen - Florida;SN50540;11.2001;4,8;-2,9;11,6;25
Oslo - Blindern;SN18700;11.2001;2,2;-4,6;12,8;4
Bergen - Florida;SN50540;12.2001;1,2;-9,8;10,8;15
Oslo - Blindern;SN18700;12.2001;-3,3;-17,9;5,4;8
Bergen - Florida;SN50540;01.2002;3,8;-4,6;9,6;26
Oslo - Blindern;SN18700;01.2002;-2,8;-16,6;5,1;13
Bergen - Florida;SN50540;02.2002;3,2;-6,3;9,9;23
Oslo - Blindern;SN18700;02.2002;0,7;-8,7;6,7;12
Bergen - Florida;SN50540;03.2002;3,8;-3,1;12,9;18
Oslo - Blindern;SN18700;03.2002;2,1;-8;13,3;7
Bergen - Florida;SN50540;04.2002;8,2;1,8;17;12
Oslo - Blindern;SN18700;04.2002;7;-2;20,5;6
Bergen - Florida;SN50540;05.2002;12,6;1,6;24,2;13
Oslo - Blindern;SN18700;05.2002;12,8;3;23,4;11
Bergen - Florida;SN50540;06.2002;15,2;8,6;28,2;15
Oslo - Blindern;SN18700;06.2002;16,6;6,8;27,7;10
Bergen - Florida;SN50540;07.2002;15,3;8,1;28,2;17
Oslo - Blindern;SN18700;07.2002;17,4;10,6;26,6;16
Bergen - Florida;SN50540;08.2002;19,6;11,6;30;10
Oslo - Blindern;SN18700;08.2002;20,4;12;28,2;5
Bergen - Florida;SN50540;09.2002;13,8;4,7;25;15
Oslo - Blindern;SN18700;09.2002;13,4;1,1;25;6
Bergen - Florida;SN50540;10.2002;6,2;-2,1;16,1;14
Oslo - Blindern;SN18700;10.2002;3,5;-5,2;12,5;7
Bergen - Florida;SN50540;11.2002;3;-5,3;10,5;12
Oslo - Blindern;SN18700;11.2002;-1,2;-9,4;6,8;11
Bergen - Florida;SN50540;12.2002;0,9;-6,8;9,8;9
Oslo - Blindern;SN18700;12.2002;-5,8;-19,7;1,1;7
Bergen - Florida;SN50540;01.2003;2,2;-9,4;9,1;20
Oslo - Blindern;SN18700;01.2003;-3,8;-20,1;7,1;4
Bergen - Florida;SN50540;02.2003;2,2;-4,8;10,8;11
Oslo - Blindern;SN18700;02.2003;-2,6;-13,6;5,9;8
Bergen - Florida;SN50540;03.2003;4,9;-3,2;12,4;12
Oslo - Blindern;SN18700;03.2003;1,7;-10,8;13;6
Bergen - Florida;SN50540;04.2003;8,6;-0,4;20,5;7
Oslo - Blindern;SN18700;04.2003;6;-4;20,5;4
Bergen - Florida;SN50540;05.2003;9,7;2;18,6;21
Oslo - Blindern;SN18700;05.2003;10,1;1;22;14
Bergen - Florida;SN50540;06.2003;14,5;6,9;26,2;17
Oslo - Blindern;SN18700;06.2003;16,3;9;26,5;11
Bergen - Florida;SN50540;07.2003;18,1;10,3;31,8;17
Oslo - Blindern;SN18700;07.2003;18,9;11,3;30,3;12
Bergen - Florida;SN50540;08.2003;16;8,6;27,3;14
Oslo - Blindern;SN18700;08.2003;17,4;7,5;28,3;7
Bergen - Florida;SN50540;09.2003;12,4;3;20,2;24
Oslo - Blindern;SN18700;09.2003;12,5;1,1;23,1;7
Bergen - Florida;SN50540;10.2003;6,1;-3,1;13,2;17
Oslo - Blindern;SN18700;10.2003;4;-6,7;14,5;6
Bergen - Florida;SN50540;11.2003;6,9;-0,5;14,4;20
Oslo - Blindern;SN18700;11.2003;3;-5,1;10,1;12
Bergen - Florida;SN50540;12.2003;3,7;-6,9;9,7;23
Oslo - Blindern;SN18700;12.2003;0,4;-11,1;7,7;8
Bergen - Florida;SN50540;01.2004;1,9;-7,2;10,7;16
Oslo - Blindern;SN18700;01.2004;-3,8;-15,6;2,2;18
Bergen - Florida;SN50540;02.2004;2,4;-7;10;19
Oslo - Blindern;SN18700;02.2004;-1,4;-12,4;9,8;5
Bergen - Florida;SN50540;03.2004;4,6;-2,7;15,7;14
Oslo - Blindern;SN18700;03.2004;2,1;-11,8;15;6
Bergen - Florida;SN50540;04.2004;8,4;-0,6;16,3;19
Oslo - Blindern;SN18700;04.2004;7,5;-2,6;17,1;7
Bergen - Florida;SN50540;05.2004;10,5;1,8;23,4;16
Oslo - Blindern;SN18700;05.2004;12,4;2;24,5;8
Bergen - Florida;SN50540;06.2004;12,8;6,5;21,7;17
Oslo - Blindern;SN18700;06.2004;14,2;6,4;23,2;12
Bergen - Florida;SN50540;07.2004;14,5;7,7;24,6;12
Oslo - Blindern;SN18700;07.2004;16;8,3;27,3;9
Bergen - Florida;SN50540;08.2004;17,4;7,1;30,7;14
Oslo - Blindern;SN18700;08.2004;18;6,1;31,5;12
Bergen - Florida;SN50540;09.2004;12,3;4;20,6;20
Oslo - Blindern;SN18700;09.2004;12,6;3,8;23,1;11
Bergen - Florida;SN50540;10.2004;9,1;1,4;16,7;14
Oslo - Blindern;SN18700;10.2004;6,6;-1,8;12,8;13
Bergen - Florida;SN50540;11.2004;4,8;-5,1;11,3;23
Oslo - Blindern;SN18700;11.2004;1,2;-9,8;11,6;10
Bergen - Florida;SN50540;12.2004;4,5;-5;10,1;28
Oslo - Blindern;SN18700;12.2004;0,4;-9,6;8,6;6
Bergen - Florida;SN50540;01.2005;3,6;-3,1;9,8;25
Oslo - Blindern;SN18700;01.2005;1,7;-6,5;9,6;7
Bergen - Florida;SN50540;02.2005;2,2;-5,9;7,5;15
Oslo - Blindern;SN18700;02.2005;-1;-10;7,4;2
Bergen - Florida;SN50540;03.2005;3,6;-4,8;14,8;10
Oslo - Blindern;SN18700;03.2005;-0,8;-16,9;13,5;6
Bergen - Florida;SN50540;04.2005;7,6;0;17,6;10
Oslo - Blindern;SN18700;04.2005;6,9;-1,5;17,5;3
Bergen - Florida;SN50540;05.2005;9;2,1;16,5;22
Oslo - Blindern;SN18700;05.2005;9,7;0,4;19,2;12
Bergen - Florida;SN50540;06.2005;12;5,1;23,1;16
Oslo - Blindern;SN18700;06.2005;14,6;3;25,6;7
Bergen - Florida;SN50540;07.2005;16,3;10,1;26,1;12
Oslo - Blindern;SN18700;07.2005;18,7;9,4;31,4;8
Bergen - Florida;SN50540;08.2005;14;8,3;22,1;15
Oslo - Blindern;SN18700;08.2005;15,9;5,9;25,1;15
Bergen - Florida;SN50540;09.2005;12,5;4,5;22;22
Oslo - Blindern;SN18700;09.2005;12,6;1,4;22,4;8
Bergen - Florida;SN50540;10.2005;10,5;-1,6;23,1;18
Oslo - Blindern;SN18700;10.2005;7,5;-3,3;17,7;12
Bergen - Florida;SN50540;11.2005;6,2;-3,2;14,6;22
Oslo - Blindern;SN18700;11.2005;4,4;-7,8;12,7;14
Bergen - Florida;SN50540;12.2005;3;-6,8;10,6;14
Oslo - Blindern;SN18700;12.2005;-1,1;-8,3;7,8;11
Bergen - Florida;SN50540;01.2006;2,7;-3,8;9,1;17
Oslo - Blindern;SN18700;01.2006;-2,4;-11,1;6,9;9
Bergen - Florida;SN50540;02.2006;3;-3,3;13,2;10
Oslo - Blindern;SN18700;02.2006;-3,2;-15,7;9,7;8
Bergen - Florida;SN50540;03.2006;0,7;-8,3;9,2;8
Oslo - Blindern;SN18700;03.2006;-3,2;-15;9,4;9
Bergen - Florida;SN50540;04.2006;5,8;-1,5;15,5;18
Oslo - Blindern;SN18700;04.2006;4,7;-2,4;13,2;15
Bergen - Florida;SN50540;05.2006;11,3;2;24,6;13
Oslo - Blindern;SN18700;05.2006;12;2,2;25,2;10
Bergen - Florida;SN50540;06.2006;13,4;4,7;27,5;12
Oslo - Blindern;SN18700;06.2006;16,1;6,1;28,5;7
Bergen - Florida;SN50540;07.2006;17,6;8,4;28;11
Oslo - Blindern;SN18700;07.2006;20,1;9;30,5;5
Bergen - Florida;SN50540;08.2006;17,5;10,8;26,4;11
Oslo - Blindern;SN18700;08.2006;18;9,4;29,9;14
Bergen - Florida;SN50540;09.2006;15,4;9,7;27,1;17
Oslo - Blindern;SN18700;09.2006;15;7,5;22,5;9
Bergen - Florida;SN50540;10.2006;10,5;3,6;17,8;22
Oslo - Blindern;SN18700;10.2006;8,4;-0,2;17,5;16
Bergen - Florida;SN50540;11.2006;7,3;0,3;13,3;27
Oslo - Blindern;SN18700;11.2006;4,1;-5,6;13,2;14
Bergen - Florida;SN50540;12.2006;6,6;-1;11,5;28
Oslo - Blindern;SN18700;12.2006;2,4;-5,7;9,6;9
Bergen - Florida;SN50540;01.2007;3,5;-5,5;10,2;28
Oslo - Blindern;SN18700;01.2007;-0,9;-14,3;9;13
Bergen - Florida;SN50540;02.2007;2,2;-8,5;8,8;14
Oslo - Blindern;SN18700;02.2007;-3,2;-14,5;7,5;13
Bergen - Florida;SN50540;03.2007;6,2;-1,5;17,1;18
Oslo - Blindern;SN18700;03.2007;4,2;-3,6;16;6
Bergen - Florida;SN50540;04.2007;7,8;-1,4;19,4;18
Oslo - Blindern;SN18700;04.2007;7,6;-3,1;19,5;7
Bergen - Florida;SN50540;05.2007;9,7;1,5;23,1;12
Oslo - Blindern;SN18700;05.2007;10,9;2,6;20,5;12
Bergen - Florida;SN50540;06.2007;16;5,6;28,1;3
Oslo - Blindern;SN18700;06.2007;17;5,3;31,3;9
Bergen - Florida;SN50540;07.2007;14,9;8,2;27,1;20
Oslo - Blindern;SN18700;07.2007;16,1;9,9;24,3;20
Bergen - Florida;SN50540;08.2007;14;6,8;28,4;19
Oslo - Blindern;SN18700;08.2007;16,5;4,2;27,4;7
Bergen - Florida;SN50540;09.2007;10,3;3,1;16,7;23
Oslo - Blindern;SN18700;09.2007;11;1,6;21,9;7
Bergen - Florida;SN50540;10.2007;8,8;-0,5;16,5;15
Oslo - Blindern;SN18700;10.2007;6,9;-2,5;15,4;4
Bergen - Florida;SN50540;11.2007;4;-3;11,7;19
Oslo - Blindern;SN18700;11.2007;1,5;-6,2;13,4;7
Bergen - Florida;SN50540;12.2007;3,4;-3,5;10;14
Oslo - Blindern;SN18700;12.2007;-1,4;-11,6;7,8;9
Bergen - Florida;SN50540;01.2008;3,6;-4,6;9;24
Oslo - Blindern;SN18700;01.2008;0,9;-5,7;7,6;16
Bergen - Florida;SN50540;02.2008;4,6;-3;10,8;23
Oslo - Blindern;SN18700;02.2008;1,9;-8,5;9,5;7
Bergen - Florida;SN50540;03.2008;3,2;-5;13,4;22
Oslo - Blindern;SN18700;03.2008;0,9;-13,1;8,9;13
Bergen - Florida;SN50540;04.2008;7,5;-0,9;17,1;14
Oslo - Blindern;SN18700;04.2008;6,7;-0,8;20;12
Bergen - Florida;SN50540;05.2008;12,3;2,3;25,5;4
Oslo - Blindern;SN18700;05.2008;12,3;0,6;28;7
Bergen - Florida;SN50540;06.2008;13,7;5;27,4;15
Oslo - Blindern;SN18700;06.2008;15,8;6,4;31;7
Bergen - Florida;SN50540;07.2008;18;9,5;31,3;10
Oslo - Blindern;SN18700;07.2008;18,3;8,4;31,6;9
Bergen - Florida;SN50540;08.2008;15,5;7,4;29,8;13
Oslo - Blindern;SN18700;08.2008;15,2;8,6;27,4;15
Bergen - Florida;SN50540;09.2008;12,7;5,8;24;12
Oslo - Blindern;SN18700;09.2008;10,8;4;19,2;6
Bergen - Florida;SN50540;10.2008;8;-1,5;15,9;26
Oslo - Blindern;SN18700;10.2008;6,8;-2,8;15,7;12
Bergen - Florida;SN50540;11.2008;4,5;-6,5;13,1;19
Oslo - Blindern;SN18700;11.2008;2,1;-7,4;9,6;10
Bergen - Florida;SN50540;12.2008;2,9;-4,4;9,2;12
Oslo - Blindern;SN18700;12.2008;-1,2;-9,9;7,8;10
Bergen - Florida;SN50540;01.2009;3,3;-8,1;8,9;16
Oslo - Blindern;SN18700;01.2009;-2,2;-12,2;7,1;9
Bergen - Florida;SN50540;02.2009;0,8;-8,5;7,6;18
Oslo - Blindern;SN18700;02.2009;-5,1;-15,8;5,9;9
Bergen - Florida;SN50540;03.2009;4,7;-0,3;10;21
Oslo - Blindern;SN18700;03.2009;1,2;-7,3;10,4;9
Bergen - Florida;SN50540;04.2009;9,5;1;19;9
Oslo - Blindern;SN18700;04.2009;7,7;-1;20,4;5
Bergen - Florida;SN50540;05.2009;10,8;2,8;21,3;16
Oslo - Blindern;SN18700;05.2009;12;2,6;26,4;13
Bergen - Florida;SN50540;06.2009;13,9;4,7;29,9;5
Oslo - Blindern;SN18700;06.2009;15,8;4,8;31,8;6
Bergen - Florida;SN50540;07.2009;16,8;10,6;28,7;17
Oslo - Blindern;SN18700;07.2009;17,3;10,5;33;16
Bergen - Florida;SN50540;08.2009;15,7;9,5;27,7;21
Oslo - Blindern;SN18700;08.2009;16,1;6,6;27,7;13
Bergen - Florida;SN50540;09.2009;12,3;3,9;20,4;25
Oslo - Blindern;SN18700;09.2009;12,9;0,1;23;6
Bergen - Florida;SN50540;10.2009;7;0,5;13,8;9
Oslo - Blindern;SN18700;10.2009;4,4;-2,8;14,8;6
Bergen - Florida;SN50540;11.2009;7,1;-1,1;14,6;17
